ligand,receptor,species
CCL14,CCR3,Human
CCL14,CCR5,Human
CCL15,CCR1,Human
CCL15,CCR3,Human
CCL16,CCR1,Human
CCL16,CCR2,Human
CCL16,CCR5,Human
CCL16,CCR8,Human
CCL16,HRH4,Human
CCL17,CCR4,Human
CCL17,CCR8,Human
CCL19,ACKR2,Human
CCL19,CCR10,Human
CCL19,CCR7,Human
CCL19,CXCR3,Human
CCL1,CCR8,Human
CCL20,CCR6,Human
CCL20,CXCR3,Human
CCL21,ACKR2,Human
CCL21,CCR7,Human
CCL21,CXCR3,Human
CCL22,CCR4,Human
CCL23,CCR1,Human
CCL24,CCR2,Human
CCL24,CCR3,Human
CCL25,ACKR2,Human
CCL25,CCR10,Human
CCL25,CCR9,Human
CCL26,CCR1,Human
CCL26,CCR2,Human
CCL26,CCR3,Human
CCL27,ACKR2,Human
CCL27,CCR10,Human
CCL28,ACKR2,Human
CCL28,CCR10,Human
CCL28,CCR3,Human
CCL2,ACKR2,Human
CCL2,CCR1,Human
CCL2,CCR10,Human
CCL2,CCR2,Human
CCL2,CCR3,Human
CCL2,CCR4,Human
CCL2,CCR5,Human
CCL3L1,CCR1,Human
CCL3L1,CCR3,Human
CCL3L1,CCR5,Human
CCL3L3,ACKR2,Human
CCL3L3,CCR5,Human
CCL3,ACKR2,Human
CCL3,CCR1,Human
CCL3,CCR3,Human
CCL3,CCR4,Human
CCL3,CCR5,Human
CCL4,ACKR2,Human
CCL4,CCR1,Human
CCL4,CCR3,Human
CCL4,CCR5,Human
CCL4,CCR8,Human
CCL5,ACKR2,Human
CCL5,CCR1,Human
CCL5,CCR3,Human
CCL5,CCR4,Human
CCL5,CCR5,Human
CCL5,CXCR3,Human
CCL5,SDC1,Human
CCL5,SDC4,Human
CCL7,ACKR2,Human
CCL7,CCR1,Human
CCL7,CCR10,Human
CCL7,CCR2,Human
CCL7,CCR3,Human
CCL7,CCR5,Human
CCL7,CXCR3,Human
CCL8,ACKR2,Human
CCL8,CCR1,Human
CCL8,CCR2,Human
CCL8,CCR3,Human
CCL8,CCR5,Human
CD14,ITGA4,Human
CD14,ITGB1,Human
CD34,SELL,Human
CD55,CR1,Human
CDH1,EGFR,Human
CDH1,IGF1R,Human
CDH1,ITGAE,Human
CDH1,ITGB7,Human
CDH1,PTPRF,Human
CDH1,PTPRM,Human
CEL,CXCR4,Human
CFH,ITGAM,Human
CFH,SELL,Human
CGA,FSHR,Human
CGA,LHCGR,Human
CGA,TSHR,Human
CGB,LHCGR,Human
CGN,F11R,Human
CHAD,ITGA2,Human
CHAD,ITGB1,Human
CLCF1,CNTFR,Human
CLCF1,CRLF1,Human
CLCF1,IL6ST,Human
CLCF1,LIFR,Human
CNTF,CNTFR,Human
CNTF,IL6R,Human
CNTF,IL6ST,Human
CNTF,LIFR,Human
CNTN2,CNTN1,Human
CNTN2,CNTNAP2,Human
CNTN2,NRCAM,Human
COL14A1,CD44,Human
COL18A1,GPC1,Human
COL18A1,GPC4,Human
COL18A1,ITGA5,Human
COL18A1,ITGB1,Human
COL18A1,KDR,Human
COL1A1,CD36,Human
COL1A1,CD44,Human
COL1A1,ITGA11,Human
COL1A1,ITGA2,Human
COL1A1,ITGA5,Human
COL1A1,ITGB1,Human
COL1A1,TMPRSS6,Human
COL1A2,CD36,Human
COL1A2,CD44,Human
COL1A2,ITGA2,Human
COL1A2,ITGA2B,Human
COL1A2,ITGB3,Human
COL2A1,ITGA10,Human
COL2A1,ITGA2,Human
COL2A1,ITGA2B,Human
COL2A1,ITGB1,Human
COL2A1,MAG,Human
COL2A1,TNFRSF10A,Human
COL3A1,MAG,Human
COL4A1,ITGA1,Human
COL4A1,ITGAV,Human
COL4A1,ITGB1,Human
COL4A1,ITGB8,Human
COL4A3,CD47,Human
COL4A3,ITGAV,Human
COL5A1,SDC3,Human
COL5A3,SDC3,Human
COL8A1,ITGA1,Human
COL8A1,ITGA2,Human
COL9A1,MAG,Human
COL9A2,MAG,Human
COL9A3,MAG,Human
CORT,GHSR,Human
CORT,SSTR1,Human
CORT,SSTR2,Human
CORT,SSTR3,Human
CORT,SSTR4,Human
CORT,SSTR5,Human
CPAMD8,SCTR,Human
CP,SLC40A1,Human
CRH,CRHR1,Human
CRH,CRHR2,Human
CRH,MC2R,Human
CRP,OLR1,Human
CSF1,CSF1R,Human
CSF2,CSF1R,Human
CSF2,CSF2RA,Human
CSF2,CSF2RB,Human
CSF2,CSF3R,Human
CSF2,IL3RA,Human
CSF2,SDC2,Human
CSF3,CSF1R,Human
CSF3,CSF3R,Human
CSH1,PRLR,Human
CSH2,PRLR,Human
CSHL1,PRLR,Human
CTF1,IL6ST,Human
CTF1,LIFR,Human
CTGF,ERBB4,Human
CTGF,ITGA5,Human
CTGF,ITGAM,Human
CTGF,ITGB2,Human
CTGF,LRP1,Human
CTGF,LRP6,Human
CTGF,NTRK1,Human
CTHRC1,FZD3,Human
CTHRC1,FZD5,Human
CTHRC1,FZD6,Human
CUBN,LRP2,Human
CX3CL1,CX3CR1,Human
CXCL10,CCR3,Human
CXCL10,CXCR3,Human
CXCL10,SDC4,Human
CXCL11,ACKR3,Human
CXCL11,CCR3,Human
CXCL11,CXCR3,Human
CXCL12,ACKR3,Human
CXCL12,CD4,Human
CXCL12,CXCR3,Human
CXCL12,CXCR4,Human
CXCL12,ITGB1,Human
CXCL13,CCR10,Human
CXCL13,CXCR3,Human
CXCL13,CXCR5,Human
CXCL16,CXCR6,Human
CXCL1,CXCR1,Human
CXCL1,CXCR2,Human
CXCL2,CXCR1,Human
CXCL2,CXCR2,Human
CXCL2,XCR1,Human
CXCL3,CXCR1,Human
CXCL3,CXCR2,Human
CXCL5,CXCR1,Human
CXCL5,CXCR2,Human
CXCL6,CXCR1,Human
CXCL6,CXCR2,Human
CXCL9,CCR3,Human
CXCL9,CXCR3,Human
CYR61,ITGA5,Human
CYR61,ITGAM,Human
CYR61,ITGAV,Human
CYR61,ITGB2,Human
CYR61,ITGB3,Human
CYR61,ITGB5,Human
DCN,EGFR,Human
DCN,ERBB4,Human
DCN,MET,Human
DEFB103A,CCR6,Human
DEFB103B,CCR2,Human
DEFB103B,CCR6,Human
DEFB1,CCR6,Human
DEFB4A,CCR6,Human
DEFB4A,TLR4,Human
DEFB4B,CCR6,Human
DHH,BOC,Human
DHH,CDON,Human
DHH,HHIP,Human
DHH,PTCH1,Human
DHH,PTCH2,Human
DKK1,KREMEN1,Human
DKK1,KREMEN2,Human
DKK1,LRP5,Human
DKK1,LRP6,Human
DKK2,KREMEN2,Human
DKK2,LRP6,Human
DLK1,NOTCH1,Human
DLK2,NOTCH1,Human
DLL1,NOTCH1,Human
DLL1,NOTCH2,Human
DLL1,NOTCH3,Human
DLL4,NOTCH1,Human
DLL4,NOTCH2,Human
DLL4,NOTCH3,Human
DLL4,NOTCH4,Human
EBI3,IL27RA,Human
EDA,EDA2R,Human
EDA,EDAR,Human
EDIL3,ITGAV,Human
EDN1,EDNRA,Human
EDN1,EDNRB,Human
EDN1,KEL,Human
EDN2,EDNRA,Human
EDN2,EDNRB,Human
EDN2,KEL,Human
EDN3,EDNRA,Human
EDN3,EDNRB,Human
EDN3,KEL,Human
EFEMP1,EGFR,Human
EFEMP2,AQP1,Human
EFEMP2,LINGO1,Human
EFNA1,EPHA1,Human
EFNA1,EPHA2,Human
EFNA1,EPHA3,Human
EFNA1,EPHA4,Human
EFNA1,EPHA5,Human
EFNA1,EPHA6,Human
EFNA1,EPHA7,Human
EFNA1,EPHA8,Human
EFNA1,EPHB1,Human
EFNA2,EPHA2,Human
EFNA2,EPHA3,Human
EFNA2,EPHA4,Human
EFNA2,EPHA5,Human
EFNA2,EPHA6,Human
EFNA2,EPHA7,Human
EFNA2,EPHA8,Human
EFNA3,EPHA1,Human
EFNA3,EPHA2,Human
EFNA3,EPHA3,Human
EFNA3,EPHA4,Human
EFNA3,EPHA5,Human
EFNA3,EPHA6,Human
EFNA3,EPHA7,Human
EFNA3,EPHA8,Human
EFNA3,EPHB1,Human
EFNA4,EPHA2,Human
EFNA4,EPHA3,Human
EFNA4,EPHA4,Human
EFNA4,EPHA5,Human
EFNA4,EPHA6,Human
EFNA4,EPHA7,Human
EFNA4,EPHA8,Human
EFNA5,EPHA2,Human
EFNA5,EPHA3,Human
EFNA5,EPHA4,Human
EFNA5,EPHA5,Human
EFNA5,EPHA6,Human
EFNA5,EPHA7,Human
EFNA5,EPHA8,Human
EFNA5,EPHB1,Human
EFNA5,EPHB2,Human
EFNA5,EPHB6,Human
EFNB1,EPHB1,Human
EFNB1,EPHB2,Human
EFNB1,EPHB3,Human
EFNB1,EPHB4,Human
EFNB1,EPHB6,Human
EFNB1,ERBB2,Human
EFNB2,EPHA3,Human
EFNB2,EPHA4,Human
EFNB2,EPHA6,Human
EFNB2,EPHB1,Human
EFNB2,EPHB2,Human
EFNB2,EPHB3,Human
EFNB2,EPHB4,Human
EFNB2,EPHB6,Human
EFNB2,GRM1,Human
EFNB2,GRM5,Human
EFNB2,PECAM1,Human
EFNB3,EPHA4,Human
EFNB3,EPHB2,Human
EFNB3,EPHB3,Human
EFNB3,EPHB4,Human
EGF,EGFR,Human
EGF,ERBB2,Human
EGF,ERBB3,Human
EGF,ERBB4,Human
EPGN,EGFR,Human
EPO,EPOR,Human
EREG,EGFR,Human
EREG,ERBB4,Human
F10,F3,Human
F11,GP1BA,Human
F12,GP1BA,Human
F13A1,ITGA4,Human
F13A1,ITGA9,Human
F13A1,ITGB1,Human
F2,F2R,Human
F2,F2RL1,Human
F2,F2RL2,Human
F2,F2RL3,Human
F2,GP1BA,Human
F2,GP9,Human
F2,ITGA2B,Human
F2,THBD,Human
F7,F3,Human
F8,LDLR,Human
F8,LRP1,Human
F9,LRP1,Human
FAT4,DCHS1,Human
