ligand,receptor,species
IL1F10,IL1R1,Human
IL1RN,IL1R1,Human
IL1RN,IL1R2,Human
IL20,IL20RA,Human
IL20,IL20RB,Human
IL20,IL22RA1,Human
IL21,IL21R,Human
IL21,IL2RG,Human
IL22,IL10RA,Human
IL22,IL10RB,Human
IL22,IL22RA1,Human
IL22,IL22RA2,Human
IL23A,IL12RB1,Human
IL23A,IL23R,Human
IL24,IL20RA,Human
IL24,IL20RB,Human
IL24,IL22RA1,Human
IL25,IL17RB,Human
IL27,IL27RA,Human
IL2,IL2RA,Human
IL2,IL2RB,Human
IL2,IL2RG,Human
IL2,NGFR,Human
IL31,IL31RA,Human
IL31,OSMR,Human
IL33,IL1RL1,Human
IL34,CSF1R,Human
IL3,CSF2RB,Human
IL3,IL3RA,Human
IL4,IL13RA1,Human
IL4,IL13RA2,Human
IL4,IL2RG,Human
IL4,IL4R,Human
IL5,CSF2RB,Human
IL5,IL5RA,Human
IL6,IL6R,Human
IL6,IL6ST,Human
IL7,IL2RG,Human
IL7,IL7R,Human
IL8,CXCR1,Human
IL8,CXCR2,Human
IL8,SDC1,Human
IL8,SDC2,Human
IL9,IL2RG,Human
IL9,IL9R,Human
INHA,ACVR2A,Human
INHBA,ACVR1,Human
INHBA,ACVR1B,Human
INHBA,ACVR2A,Human
INHBA,ACVR2B,Human
INHBA,BAMBI,Human
INHBB,ACVR1,Human
INHBB,ACVR1B,Human
INHBB,ACVR1C,Human
INHBB,ACVR2A,Human
INHBB,ACVR2B,Human
INHBC,ACVR1,Human
INHBC,ACVR1B,Human
INHBC,ACVR2A,Human
INHBC,ACVR2B,Human
INSL3,RXFP2,Human
INSL5,RXFP3,Human
INSL5,RXFP4,Human
INS,IGF1R,Human
INS,INSR,Human
INS,LRP2,Human
ITGB3BP,ITGB3,Human
ITGB3BP,ITGB5,Human
ITIH2,FCER1A,Human
JAG1,NOTCH1,Human
JAG1,NOTCH2,Human
JAG1,NOTCH3,Human
JAG1,NOTCH4,Human
JAG2,NOTCH1,Human
JAG2,NOTCH2,Human
JAG2,NOTCH3,Human
KAL1,FGFR1,Human
KAL1,SDC2,Human
KISS1,KISS1R,Human
KISS1,MMP24,Human
KITLG,EPOR,Human
KITLG,KIT,Human
KLK3,EPOR,Human
KNG1,BDKRB1,Human
KNG1,BDKRB2,Human
KNG1,GP1BA,Human
KNG1,ITGB2,Human
KNG1,PLAUR,Human
KNG1,RXFP4,Human
KRTAP4-12,AQP1,Human
KRTAP4-12,CLDN2,Human
KRTAP4-12,CNTFR,Human
KRTAP4-12,LINGO1,Human
KRTAP4-12,PDGFRB,Human
L1CAM,CNTN1,Human
L1CAM,EGFR,Human
L1CAM,ERBB2,Human
L1CAM,ERBB3,Human
L1CAM,ITGA5,Human
L1CAM,ITGAV,Human
LACRT,SDC1,Human
LAMA1,ITGA1,Human
LAMA1,ITGA2,Human
LAMA1,ITGA7,Human
LAMA1,ITGB1,Human
LAMA1,ITGB8,Human
LAMA1,NT5E,Human
LAMA1,RPSA,Human
LAMA1,TMPRSS6,Human
LAMA2,ITGA7,Human
LAMA2,ITGB1,Human
LAMA2,RPSA,Human
LAMA3,SDC2,Human
LAMB1,ITGA6,Human
LAMB1,ITGB1,Human
LAMB2,RPSA,Human
LAMC2,ITGA3,Human
LAMC2,ITGA6,Human
LAMC2,ITGB1,Human
LAMC2,ITGB4,Human
LCN2,LRP2,Human
LEFTY2,ACVR2B,Human
LEP,LEPR,Human
LGALS3BP,ITGB1,Human
LHB,LHCGR,Human
LIF,IL6ST,Human
LIF,LIFR,Human
LIN7C,ABCA1,Human
LIN7C,HTR2C,Human
LIPC,LRP1,Human
LIPH,LPAR1,Human
LIPH,LPAR2,Human
LIPH,LPAR4,Human
LPA,LRP2,Human
LPL,GPIHBP1,Human
LPL,LRP1,Human
LPL,LRP2,Human
LPL,SDC1,Human
LPL,VLDLR,Human
LRP1B,PLAUR,Human
LRPAP1,LDLR,Human
LRPAP1,LRP1,Human
LRPAP1,LRP2,Human
LRPAP1,LRP8,Human
LRPAP1,SORT1,Human
LRPAP1,VLDLR,Human
LTA,LTBR,Human
LTA,TNFRSF14,Human
LTA,TNFRSF1B,Human
LTBP1,ITGB5,Human
LTBP3,ITGB5,Human
LTB,CD40,Human
LTB,LTBR,Human
LTB,TNFRSF1A,Human
LTF,LRP1,Human
LY86,CD180,Human
MADCAM1,CD44,Human
MADCAM1,ITGA4,Human
MADCAM1,ITGB7,Human
MATN1,ITGA1,Human
MATN1,ITGB1,Human
MBL2,CALCR,Human
MDK,ALK,Human
MDK,LRP1,Human
MDK,LRP2,Human
MDK,PTPRZ1,Human
MDK,SDC1,Human
MDK,SDC3,Human
MDK,SDC4,Human
MFAP2,NOTCH1,Human
MFAP5,NOTCH1,Human
MFGE8,ITGAV,Human
MFGE8,ITGB3,Human
MFGE8,PDGFRB,Human
MFNG,NOTCH1,Human
MFNG,NOTCH2,Human
MLLT4,EPHA7,Human
MLLT4,EPHB2,Human
MLLT4,EPHB3,Human
MLLT4,EPHB6,Human
MLLT4,F11R,Human
MLLT4,NRXN2,Human
MLLT4,NRXN3,Human
MLN,MLNR,Human
MMP12,PLAUR,Human
MMP13,LRP1,Human
MMP1,CD44,Human
MMP1,ITGA2,Human
MMP2,SDC2,Human
MMP7,CD44,Human
MMP7,ERBB4,Human
MMP9,CD44,Human
MMP9,EPHB2,Human
MMP9,LRP1,Human
MST1,MST1R,Human
MSTN,ACVR2B,Human
MUC7,SELL,Human
MYOC,FZD1,Human
MYOC,FZD10,Human
MYOC,FZD3,Human
MYOC,FZD4,Human
MYOC,FZD7,Human
NAMPT,INSR,Human
NCAM1,FGFR1,Human
NCAM1,GFRA1,Human
NCAM1,ROBO1,Human
NCAM1,ROBO3,Human
NDP,FZD4,Human
NGF,NGFR,Human
NGF,NTRK1,Human
NGF,SORT1,Human
NID1,COL13A1,Human
NID1,ITGAV,Human
NID1,ITGB3,Human
NID1,PTPRF,Human
NID2,COL13A1,Human
NLGN1,NRXN1,Human
NLGN1,NRXN2,Human
NLGN1,NRXN3,Human
NLGN2,NRXN1,Human
NLGN2,NRXN2,Human
NLGN2,NRXN3,Human
NLGN3,NRXN1,Human
NLGN3,NRXN2,Human
NLGN3,NRXN3,Human
NMB,BRS3,Human
NMB,GRPR,Human
NMB,NMBR,Human
NMS,NMUR1,Human
NMS,NMUR2,Human
NMU,NMUR1,Human
NMU,NMUR2,Human
NODAL,ACVR1B,Human
NODAL,ACVR1C,Human
NODAL,ACVR2A,Human
NODAL,ACVR2B,Human
NOV,NOTCH1,Human
NPB,NPBWR1,Human
NPB,NPBWR2,Human
NPFF,NPFFR1,Human
NPFF,NPFFR2,Human
NPNT,ITGA8,Human
NPNT,ITGB1,Human
NPPA,NPR1,Human
NPPB,NPR1,Human
NPPB,NPR2,Human
NPPC,NPR2,Human
NPS,NPSR1,Human
NPVF,NPFFR1,Human
NPVF,NPFFR2,Human
NPW,NPBWR1,Human
NPW,NPBWR2,Human
NPY,MC4R,Human
NPY,NPFFR2,Human
NPY,NPY1R,Human
NPY,NPY2R,Human
NPY,NPY4R,Human
NPY,NPY5R,Human
NRG1,ERBB2,Human
NRG1,ERBB3,Human
NRG1,ERBB4,Human
NRG2,ERBB3,Human
NRG2,ERBB4,Human
NRG3,ERBB4,Human
NRG4,ERBB4,Human
NRTN,GFRA1,Human
NRTN,GFRA2,Human
NRTN,RET,Human
NTF3,NGFR,Human
NTF3,NTRK1,Human
NTF3,NTRK2,Human
NTF3,NTRK3,Human
NTF4,NGFR,Human
NTF4,NTRK1,Human
NTF4,NTRK2,Human
NTN1,ADORA2B,Human
NTN1,DCC,Human
NTN1,NEO1,Human
NTN1,UNC5A,Human
NTN1,UNC5B,Human
NTN1,UNC5C,Human
NTN1,UNC5D,Human
NTN3,CDON,Human
NTN3,NEO1,Human
NTN4,DCC,Human
NTN4,UNC5A,Human
NTS,NTSR1,Human
NTS,NTSR2,Human
NTS,SORT1,Human
NXPH1,NRXN1,Human
NXPH1,NRXN2,Human
NXPH1,NRXN3,Human
NXPH2,NRXN1,Human
NXPH3,NRXN1,Human
NXPH3,NRXN2,Human
NXPH3,NRXN3,Human
OBP2A,OR1G1,Human
OLFM2,ROBO2,Human
OMG,LINGO1,Human
OMG,RTN4RL1,Human
OMG,TNFRSF1B,Human
ORM1,CCR5,Human
OSM,IL6ST,Human
OSM,LIFR,Human
OSM,OSMR,Human
OXT,AVPR1A,Human
OXT,AVPR1B,Human
OXT,AVPR2,Human
OXT,OXTR,Human
PCSK9,VLDLR,Human
PDAP1,PDGFRB,Human
PDGFA,PDGFRA,Human
PDGFB,ART1,Human
PDGFB,LRP1,Human
PDGFB,PDGFRA,Human
PDGFB,PDGFRB,Human
PDGFC,FLT4,Human
PDGFC,KDR,Human
PDGFC,PDGFRA,Human
PDGFD,PDGFRB,Human
PDYN,OPRD1,Human
PDYN,OPRK1,Human
PDYN,OPRM1,Human
PENK,OPRD1,Human
PENK,OPRM1,Human
PF4,CXCR3,Human
PF4,FGFR2,Human
PF4,LDLR,Human
PF4,PROCR,Human
PF4,SDC2,Human
PF4,THBD,Human
PGF,FLT1,Human
PGF,NRP1,Human
PGF,NRP2,Human
PIGF,FLT1,Human
PIP,CD4,Human
PLA2G10,PLA2R1,Human
PLAT,LRP1,Human
PLAU,IGF2R,Human
PLAU,LRP1,Human
PLAU,LRP2,Human
PLAU,PLAUR,Human
PLG,F2R,Human
PLG,F2RL1,Human
PLG,F3,Human
PLG,ITGA9,Human
PLG,ITGB1,Human
PLTP,ABCA1,Human
PMCH,MCHR1,Human
PMCH,MCHR2,Human
PNOC,OPRL1,Human
PODXL2,SELL,Human
PODXL,SELL,Human
POMC,MC1R,Human
POMC,MC2R,Human
POMC,MC3R,Human
POMC,MC4R,Human
POMC,MC5R,Human
POMC,OPRD1,Human
POMC,OPRK1,Human
POMC,OPRM1,Human
PON2,HTR2A,Human
PPBP,CXCR1,Human
PPBP,CXCR2,Human
PPY,NPY4R,Human
PPY,NPY5R,Human
PRL,PRLR,Human
PRND,RPSA,Human
PROC,PROCR,Human
PROC,THBD,Human
PROK1,PROKR1,Human
PROK1,PROKR2,Human
PROK2,PROKR1,Human
PROK2,PROKR2,Human
PROS1,AXL,Human
PSAP,CD1B,Human
PSAP,GPR37,Human
PSAP,GPR37L1,Human
PSAP,LRP1,Human
PSEN1,NCSTN,Human
PSEN1,NOTCH1,Human
PSEN1,NOTCH2,Human
PSEN1,NOTCH3,Human
PSEN1,NOTCH4,Human
PSPN,GFRA1,Human
PSPN,GFRA4,Human
PSPN,RET,Human
PTDSS1,JMJD6,Human
PTGS2,CAV1,Human
PTGS2,PTGDR2,Human
PTH2,PTH1R,Human
PTH2,PTH2R,Human
PTHLH,PTH1R,Human
PTHLH,PTH2R,Human
PTH,PTH1R,Human
PTH,PTH2R,Human
PTMA,VIPR1,Human
PTN,ALK,Human
PTN,PLXNB2,Human
PTN,PTPRB,Human
PTN,PTPRS,Human
PTN,PTPRZ1,Human
PTN,SDC1,Human
PTN,SDC3,Human
PYY,NPY1R,Human
PYY,NPY2R,Human
PYY,NPY4R,Human
PYY,NPY5R,Human
QRFP,P2RY14,Human
QRFP,QRFPR,Human
RAET1E,KLRK1,Human
RBP3,NOTCH1,Human
RELN,ITGA3,Human
RELN,ITGB1,Human
RELN,LRP8,Human
RELN,VLDLR,Human
REN,ATP6AP2,Human
RGMA,NEO1,Human
RGMB,NEO1,Human
RIMS1,CACNA1C,Human
RIMS2,ABCA1,Human
RLN1,RXFP1,Human
RLN1,RXFP2,Human
RLN2,RXFP1,Human
RLN2,RXFP2,Human
RLN3,RXFP1,Human
RLN3,RXFP2,Human
RLN3,RXFP3,Human
RLN3,RXFP4,Human
RNASE2,TLR2,Human
RPH3A,NRXN1,Human
RPS19,C5AR1,Human
RSPO1,LRP6,Human
RSPO1,ZNRF3,Human
RSPO3,FZD8,Human
RSPO3,LRP6,Human
RSPO3,SDC4,Human
RTN4,LINGO1,Human
S100A8,TLR4,Human
S100A9,TLR4,Human
SAA1,FPR1,Human
SAA1,FPR2,Human
SCGB1A1,LRP2,Human
SCT,SCTR,Human
SCT,VIPR1,Human
SCT,VIPR2,Human
SELPLG,SELE,Human
SELPLG,SELL,Human
SEMA3A,NRP1,Human
SEMA3A,NRP2,Human
SEMA3A,PLXNA1,Human
SEMA3A,PLXNA2,Human
SEMA3A,PLXNA4,Human
SEMA3B,NRP1,Human
SEMA3B,NRP2,Human
SEMA3C,NRP1,Human
SEMA3C,NRP2,Human
SEMA3C,PLXND1,Human
SEMA3D,NRP1,Human
SEMA3E,PLXND1,Human
SEMA3F,NRP1,Human
SEMA3F,NRP2,Human
SEMA3F,PLXNA3,Human
SEMA3G,NRP2,Human
SEMA4A,PLXND1,Human
SEMA4C,PLXNB2,Human
SEMA4D,ERBB2,Human
SEMA4D,MET,Human
SEMA4D,PLXNB1,Human
SEMA4D,PLXNB2,Human
SEMA4F,NRP2,Human
SEMA4G,PLXNB2,Human
SEMA5A,MET,Human
SEMA5A,PLXNB3,Human
SEMA6A,PLXNA2,Human
SEMA6A,PLXNA4,Human
SEMA6D,KDR,Human
SEMA6D,PLXNA1,Human
SEMA6D,TREM2,Human
SEMA6D,TYROBP,Human
SEMA7A,ITGA1,Human
SEMA7A,ITGB1,Human
SERPINA1,LRP1,Human
SERPINC1,LRP1,Human
SERPINC1,SDC2,Human
SERPINE1,LRP1,Human
SERPINE1,LRP2,Human
SERPINE2,LRP1,Human
SERPING1,LRP1,Human
SERPING1,SELE,Human
SFRP1,FZD2,Human
SFRP1,FZD6,Human
SFTPA1,TLR2,Human
SHANK1,ABCA1,Human
SHANK1,SSTR2,Human
SHBG,CD177,Human
SHBG,CLDN4,Human
SHBG,SLC37A1,Human
SHH,BOC,Human
SHH,CDON,Human
SHH,GPC5,Human
SHH,HHIP,Human
SHH,LRP2,Human
SHH,PTCH1,Human
SHH,PTCH2,Human
SHH,SMO,Human
SLIT1,GPC1,Human
SLIT1,ROBO1,Human
SLIT1,SDC1,Human
SLIT2,GPC1,Human
SLIT2,ROBO1,Human
SLIT2,ROBO2,Human
SLIT2,SDC1,Human
SLIT3,ROBO2,Human
SORBS1,INSR,Human
SOST,LRP5,Human
SOST,LRP6,Human
SPINK1,EGFR,Human
SPP1,CD44,Human
SPP1,ITGA4,Human
SPP1,ITGA5,Human
SPP1,ITGA9,Human
SPP1,ITGAV,Human
SPP1,ITGB1,Human
SPP1,S1PR1,Human
SST,SSTR1,Human
SST,SSTR2,Human
SST,SSTR3,Human
SST,SSTR4,Human
SST,SSTR5,Human
SYTL3,NRXN1,Human
TAC1,TACR1,Human
TAC1,TACR2,Human
TAC1,TACR3,Human
TAC3,TACR1,Human
TAC3,TACR2,Human
TAC3,TACR3,Human
TAC4,TACR1,Human
TAC4,TACR2,Human
TAC4,TACR3,Human
TCTN1,TMEM67,Human
TDGF1,ACVR1B,Human
TDGF1,ACVR1C,Human
TDGF1,ACVR2A,Human
TFPI,LRP1,Human
TFPI,VLDLR,Human
TF,TFR2,Human
TF,TFRC,Human
TGFA,EGFR,Human
TGFA,ERBB2,Human
TGFA,ERBB4,Human
TGFB1,ACVRL1,Human
TGFB1,ITGAV,Human
TGFB1,ITGB6,Human
TGFB1,ITGB8,Human
TGFB1,SDC2,Human
TGFB1,TGFBR1,Human
TGFB1,TGFBR2,Human
TGFB2,TGFBR1,Human
TGFB2,TGFBR2,Human
TGFB3,ACVRL1,Human
TGFB3,TGFBR1,Human
TGFB3,TGFBR2,Human
TGM2,ITGB1,Human
TGM2,ITGB3,Human
TGM2,SDC4,Human
TG,LRP2,Human
THBS1,CD36,Human
THBS1,CD47,Human
THBS1,ITGA2B,Human
THBS1,ITGA3,Human
THBS1,ITGA4,Human
THBS1,ITGA6,Human
THBS1,ITGB1,Human
THBS1,ITGB3,Human
THBS1,LRP1,Human
THBS1,LRP5,Human
THBS1,SDC1,Human
THBS1,TNFRSF11B,Human
THBS2,CD47,Human
THBS2,ITGA4,Human
THBS2,ITGA6,Human
THBS2,ITGB1,Human
THBS2,NOTCH3,Human
THPO,MPL,Human
TIMP2,ITGA3,Human
TIMP2,ITGB1,Human
TIMP3,AGTR2,Human
TIMP3,KDR,Human
TNC,CNTN1,Human
TNC,EGFR,Human
TNC,ITGA5,Human
TNC,ITGA7,Human
TNC,ITGB1,Human
TNC,PTPRB,Human
TNFSF10,TNFRSF11B,Human
TNFSF11,TNFRSF11A,Human
TNFSF11,TNFRSF11B,Human
TNFSF12,TNFRSF12A,Human
TNFSF13B,TNFRSF13C,Human
TNFSF13,FAS,Human
TNFSF13,SDC2,Human
TNFSF13,TNFRSF11B,Human
TNFSF13,TNFRSF14,Human
TNFSF13,TNFRSF1A,Human
TNFSF4,TRAF2,Human
TNFSF9,TRAF2,Human
TNF,TNFRSF1A,Human
TNF,TRAF2,Human
TRH,TRHR,Human
TSHB,TSHR,Human
TSLP,IL7R,Human
UCN2,CRHR1,Human
UCN2,CRHR2,Human
UCN2,IL10RB,Human
UCN3,CRHR1,Human
UCN3,CRHR2,Human
UCN3,IL10RB,Human
UCN,CRHR1,Human
UCN,CRHR2,Human
ULBP2,KLRK1,Human
UTS2B,UTS2R,Human
UTS2,UTS2R,Human
VASP,CXCR2,Human
VCAM1,ITGA4,Human
VCAM1,ITGAD,Human
VCAM1,ITGB1,Human
VCAM1,ITGB2,Human
VCAM1,ITGB7,Human
VCAN,CD44,Human
VCAN,EGFR,Human
VCAN,ITGA4,Human
VCAN,ITGB1,Human
VCAN,TLR2,Human
VEGFA,EPHB2,Human
VEGFA,FLT1,Human
VEGFA,GPC1,Human
VEGFA,KDR,Human
VEGFA,NRP1,Human
VEGFA,NRP2,Human
VEGFB,FLT1,Human
VEGFB,NRP1,Human
VEGFC,FLT4,Human
VEGFC,KDR,Human
VEGFC,NRP2,Human
VEGFC,VIPR2,Human
VIM,CD44,Human
VIP,ADCYAP1R1,Human
VIP,SCTR,Human
VIP,VIPR1,Human
VIP,VIPR2,Human
VTN,ITGA5,Human
VTN,ITGA8,Human
VTN,ITGAV,Human
VTN,ITGB3,Human
VTN,ITGB6,Human
VTN,ITGB8,Human
VTN,PLAUR,Human
VTN,PVR,Human
VTN,TNFRSF11B,Human
VWF,GP1BA,Human
VWF,ITGA2B,Human
VWF,TNFRSF11B,Human
WNT11,FZD7,Human
WNT1,FZD3,Human
WNT1,FZD8,Human
WNT1,FZD9,Human
WNT1,LRP5,Human
WNT1,LRP6,Human
WNT1,RYK,Human
WNT2,FZD1,Human
WNT2,FZD5,Human
WNT2,FZD7,Human
WNT2,FZD8,Human
WNT2,FZD9,Human
WNT3A,FZD1,Human
WNT3A,FZD2,Human
WNT3A,FZD5,Human
WNT3A,FZD6,Human
WNT3A,FZD7,Human
WNT3A,FZD8,Human
WNT3A,LRP1,Human
WNT3A,LRP6,Human
WNT3A,RYK,Human
WNT3,FZD1,Human
WNT3,FZD7,Human
WNT3,FZD8,Human
WNT3,LRP6,Human
WNT3,RYK,Human
WNT4,FZD2,Human
WNT4,FZD6,Human
WNT5A,FZD1,Human
WNT5A,FZD2,Human
WNT5A,FZD4,Human
WNT5A,FZD5,Human
WNT5A,FZD6,Human
WNT5A,FZD7,Human
WNT5A,FZD8,Human
WNT5A,LRP5,Human
WNT5A,MCAM,Human
WNT5A,ROR1,Human
WNT5A,ROR2,Human
WNT5A,RYK,Human
WNT7A,FZD10,Human
WNT7A,FZD5,Human
WNT7A,FZD9,Human
WNT7B,FZD1,Human
WNT7B,FZD10,Human
WNT7B,LRP5,Human
XCL1,XCR1,Human
XCL2,XCR1,Human
YARS,CXCR1,Human
ZG16B,CXCR4,Human
ZG16B,TLR2,Human
ZG16B,TLR4,Human
ZG16B,TLR5,Human
ZG16B,TLR6,Human
ZP3,MERTK,Human
BTLA,TNFRSF14,Human
SEMA3F,PLXNA1,Human
HEBP1,ADRA2A,Human
HEBP1,MTNR1A,Human
HEBP1,GRM7,Human
GRN,TNFRSF1A,Human
GRN,EGFR,Human
GRN,SORT1,Human
GRN,TNFRSF1B,Human
GRN,CLEC4M,Human
ICAM3,CD209,Human
CEACAM1,EGFR,Human
CEACAM1,SELE,Human
CEACAM1,CD209,Human
ST6GAL1,EGFR,Human
SCT,PTH1R,Human
SCT,ADCYAP1R1,Human
SCT,RAMP2,Human
SCT,RAMP3,Human
SCT,GPR20,Human
SCT,ADRB2,Human
SCT,ADRB3,Human
SCT,TSHR,Human
SCT,GPR84,Human
FGF20,FGFR2,Human
FGF20,FGFR1,Human
FGF20,FGFR3,Human
CEACAM6,EGFR,Human
EFNB1,EPHA4,Human
EFNB1,EPHA6,Human
DLL3,NOTCH1,Human
DLL3,NOTCH4,Human
DLL3,NOTCH2,Human
DLL3,NOTCH3,Human
VCL,ITGB5,Human
VCL,ALK,Human
EFNA2,EPHA10,Human
EFNA2,EPHA1,Human
FGF22,FGFR1,Human
MIF,CXCR4,Human
MIF,CD44,Human
MIF,EGFR,Human
MIF,CXCR2,Human
TCN2,LRP2,Human
TCN2,CNR1,Human
LGALS1,ITGB1,Human
LGALS1,PTPRC,Human
TIMP1,FGFR2,Human
MMP2,PECAM1,Human
MMP2,CCR2,Human
MMP2,FGFR1,Human
CCL22,DPP4,Human
CCL22,ACKR2,Human
CCL17,ACKR1,Human
CCL17,ACKR2,Human
TG,TPO,Human
PLAT,ITGAM,Human
PLAT,ITGB2,Human
DKK4,LRP6,Human
DKK4,LRP5,Human
LHB,PTH1R,Human
LHB,ADCYAP1R1,Human
LHB,RAMP2,Human
LHB,VIPR1,Human
LHB,RAMP3,Human
LHB,GPR20,Human
LHB,ADRB2,Human
LHB,ADRB3,Human
LHB,TSHR,Human
LHB,GPR84,Human
RETN,GPR25,Human
EBI3,IL6ST,Human
TGFB1,EGFR,Human
TGFB1,SMAD3,Human
TGFB1,ITGB3,Human
TGFB1,ITGB1,Human
TGFB1,CAV1,Human
TGFB1,CXCR4,Human
TGFB1,ITGB5,Human
CEACAM5,CD1D,Human
COMP,ITGB1,Human
COMP,ITGB3,Human
COMP,CD36,Human
HGF,ITGB1,Human
HGF,NRP1,Human
LAMB1,ITGA7,Human
LAMB1,ITGAV,Human
LAMB1,ITGA1,Human
LAMB1,ITGA2,Human
WNT16,FZD6,Human
NAMPT,ADORA2A,Human
SERPINE1,PLAUR,Human
SERPINE1,ITGAV,Human
SERPINE1,ITGB5,Human
C5,ADRA2A,Human
C5,MTNR1A,Human
C5,GRM7,Human
WNT3,ROR2,Human
WNT3,FZD5,Human
CCL2,ACKR1,Human
CCL13,ACKR1,Human
CCL13,CCR9,Human
COL1A1,FLT4,Human
COL1A1,ITGA1,Human
COL1A1,ITGAV,Human
EFNB3,EPHB6,Human
EFNB3,EPHB1,Human
VTN,CD47,Human
VTN,ITGB1,Human
VTN,KDR,Human
VTN,ITGA2B,Human
VTN,ITGB5,Human
IBSP,ITGB3,Human
IBSP,ITGAV,Human
CXCL6,ADRA2A,Human
CXCL6,ACKR1,Human
CXCL6,GRM7,Human
CXCL6,MTNR1A,Human
APOC3,LRP2,Human
APOC3,LDLR,Human
APOC3,LRP1,Human
APOC3,SDC2,Human
APOC3,TLR2,Human
SELPLG,ITGAM,Human
SELPLG,ITGB2,Human
IL23A,IL12RB2,Human
FGF6,SDC4,Human
IL26,IL10RB,Human
IL26,IL20RA,Human
GNB3,GABBR2,Human
ULBP1,KLRK1,Human
LAMA4,ITGA6,Human
LAMA4,ITGAV,Human
LAMA4,ITGB1,Human
HBEGF,PRLR,Human
LTF,TFRC,Human
HRG,ERBB2,Human
HRG,ERBB3,Human
TFPI,SDC4,Human
TFPI,F3,Human
APOB,ITGAM,Human
APOB,LRP6,Human
APOB,VLDLR,Human
APOB,CALCR,Human
APOB,MTTP,Human
APOB,ADRB2,Human
APOB,TLR6,Human
APOB,LRP1,Human
APOB,ITGB2,Human
APOB,TLR4,Human
APOB,LRP8,Human
WNT6,FZD4,Human
PROC,ITGAM,Human
PROC,ITGB2,Human
CD160,TNFRSF14,Human
APOA1,ABCA1,Human
APOA1,LRP2,Human
APOA1,LDLR,Human
APOA1,LRP1,Human
FGF23,KL,Human
TGFB3,ITGB1,Human
TGFB3,ITGB3,Human
TGFB3,ITGB6,Human
TGFB3,ITGB5,Human
IAPP,PTH1R,Human
IAPP,ADCYAP1R1,Human
IAPP,VIPR1,Human
IAPP,RAMP3,Human
IAPP,GPR20,Human
IAPP,ADRB2,Human
IAPP,ADRB3,Human
IAPP,TSHR,Human
IAPP,GPR84,Human
TNFSF10,RIPK1,Human
GSTM2,RYR2,Human
INHBA,SMAD3,Human
INHA,ACVR1,Human
INHA,ACVR2B,Human
PI3,PLD2,Human
IL17C,IL17RE,Human
EREG,ERBB2,Human
EREG,ERBB3,Human
BMP4,LRP6,Human
BMP4,HJV,Human
PSPN,GFRA3,Human
PSPN,SDC3,Human
PSPN,GFRA2,Human
TNFSF9,PVR,Human
C3,MTNR1A,Human
C3,CR2,Human
C3,GRM7,Human
C3,ADRA2A,Human
C3,IFITM1,Human
C3,CD81,Human
SLURP1,CHRNA7,Human
GDF1,ACVR2B,Human
GDF1,SMAD3,Human
GDF1,ACVR1B,Human
TPH1,HTR7,Human
TPH1,HTR1A,Human
TPH1,HTR1F,Human
TPH1,HTR1D,Human
TPH1,HTR2C,Human
TPH1,HTR4,Human
TPH1,HTR6,Human
TPH1,HTR1B,Human
TPH1,HTR2A,Human
TPH1,HTR2B,Human
TPH1,HTR5A,Human
TPH1,HTR1E,Human
LMAN1,MCFD2,Human
APOE,LRP6,Human
APOE,CHRNA4,Human
APOE,TREM2,Human
APOE,LSR,Human
APOE,ABCA1,Human
APOE,SDC2,Human
APOC2,LDLR,Human
NCAN,CDH2,Human
NCAN,SDC3,Human
BST2,LILRA4,Human
EPO,EPHB4,Human
GDF15,RET,Human
LAMA5,SDC1,Human
LAMA5,ITGA6,Human
LAMA5,ITGB1,Human
LAMA5,ITGA2,Human
JAG1,CD46,Human
CRP,CR1,Human
TSHB,PTH1R,Human
TSHB,ADCYAP1R1,Human
TSHB,VIPR1,Human
TSHB,GPR20,Human
TSHB,ADRB2,Human
TSHB,ADRB3,Human
TSHB,GPR84,Human
FST,HJV,Human
FST,BMPR2,Human
FST,BMPR1B,Human
SPX,GALR2,Human
GDF11,BMPR2,Human
GDF11,BMPR1A,Human
GDF11,BMPR1B,Human
LAMC1,ITGA6,Human
LAMC1,ITGA1,Human
LAMC1,ITGA7,Human
LAMC1,ITGAV,Human
LAMC1,ITGB1,Human
LAMC1,ITGA2,Human
IL36G,IL36RN,Human
IL36G,IL1RL2,Human
IL1RN,IL1RL2,Human
IL36A,IL36RN,Human
IL36A,IL1RL2,Human
IL36B,IL36RN,Human
IL36B,IL1RL2,Human
CFC1,SMAD3,Human
CFC1,ACVR1B,Human
CCN3,PLXNA1,Human
CCN3,NOTCH1,Human
CCL21,ADRA2A,Human
CCL21,MTNR1A,Human
CCL21,GRM7,Human
CCL27,ADRA2A,Human
CCL27,GRM7,Human
CCL27,MTNR1A,Human
TGS1,RXRA,Human
MMP7,SDC1,Human
THBS1,SDC4,Human
ADAM10,GPNMB,Human
ADAM10,TSPAN5,Human
ADAM10,TSPAN15,Human
ADAM10,CD44,Human
ADAM10,TSPAN14,Human
ADAM10,NOTCH1,Human
ADAM10,IL6R,Human
ADAM10,MET,Human
ADAM10,TREM2,Human
ADAM10,NRCAM,Human
LYZ,ITGAL,Human
VWF,ITGB3,Human
VWF,STAB2,Human
VWF,SIRPA,Human
CDH1,LRP5,Human
CDH1,ERBB3,Human
CDH1,KLRG1,Human
CDH1,CDH2,Human
ANOS1,SDC2,Human
ANOS1,FGFR1,Human
TIMP2,CD44,Human
