receptor,tf,species
CD28,CTNNB1,Human
CD28,IL2,Human
CD28,STAT5A,Human
CD28,STAT5B,Human
CD28,NME2,Human
CD28,MEN1,Human
CD28,EGF,Human
CD28,JUP,Human
CD28,KNTC1,Human
CD28,AHCTF1,Human
CD28,CENPK,Human
CD28,NPM1,Human
CD28,ETV6,Human
CD28,TRIP11,Human
CD28,TLR4,Human
CD28,TRAF6,Human
CD28,ENO1,Human
CD28,SIRT2,Human
CD28,SIRT3,Human
CD28,SIRT1,Human
CD28,SIRT7,Human
CD28,STAT3,Human
CD28,SMG6,Human
CD28,TSG101,Human
CD28,HES1,Human
CD28,NFKB2,Human
CD28,RELB,Human
CD28,ATF4,Human
CD28,RASGRF1,Human
CD28,RGS14,Human
CD28,ID1,Human
CD28,NFATC4,Human
CD28,CREB3,Human
CD28,CREB1,Human
CD28,CREB3L4,Human
CD28,CREB3L2,Human
CD28,CREB3L3,Human
CD28,CREB3L1,Human
CD28,CREB5,Human
CD28,NFKBIA,Human
CD28,NFKBIB,Human
CD28,STAT1,Human
CD28,STAT2,Human
CD28,CREBBP,Human
CD28,EP300,Human
CD28,FOXO6,Human
CD28,FOXO4,Human
CD28,PTTG1,Human
CD28,PPARG,Human
CD28,PARP1,Human
CD28,RB1CC1,Human
CD28,PPARGC1A,Human
CD28,STAT4,Human
CD28,STAT6,Human
CD28,RBCK1,Human
CD28,IL1B,Human
CD28,CDKN2A,Human
CD28,TP53,Human
CD28,CDKN1A,Human
CD28,RB1,Human
CD28,RBL1,Human
CD28,RBL2,Human
CD28,HDAC5,Human
CD28,HDAC4,Human
CD28,WWTR1,Human
CD28,TEAD1,Human
CD28,TEAD4,Human
CD28,TEAD3,Human
CD28,TEAD2,Human
CD28,SNAI1,Human
CD28,GATA4,Human
CD28,IRF7,Human
CD28,SRSF1,Human
CD28,IRF4,Human
CD28,RORA,Human
CD28,RORC,Human
CD28,ZNF274,Human
CD28,PRDM4,Human
CD28,SREBF1,Human
CD28,ATF2,Human
CD28,ATF6B,Human
CD28,TTF1,Human
CD28,PAX8,Human
CD28,TTF2,Human
CD28,ATF1,Human
CD28,SMAD2,Human
CD28,NR1H3,Human
CD28,NR1H2,Human
CD28,JUNB,Human
CD28,TARDBP,Human
CD28,HCLS1,Human
CD28,TLR2,Human
CD28,IRF9,Human
CD28,IRF3,Human
CD28,AR,Human
CD28,ELK1,Human
CD28,MYC,Human
CD28,CEBPA,Human
CD28,SPI1,Human
CD28,SMARCA2,Human
CD28,SMARCA4,Human
CD28,SMARCB1,Human
CD28,SMARCC1,Human
CD28,SMARCC2,Human
CD28,SMARCD1,Human
CD28,SMARCD2,Human
CD28,SMARCD3,Human
CD28,SMARCE1,Human
CD28,DPF1,Human
CD28,ARID1A,Human
CD28,BATF,Human
CD28,BATF3,Human
CD28,TGFB1,Human
CD28,XBP1,Human
CD28,PIAS4,Human
CD28,IL6,Human
CD28,APC,Human
CD28,PSMD9,Human
CD28,RFC1,Human
CD28,TRIM25,Human
CD28,MDM2,Human
CD28,REL,Human
CD28,EIF2AK2,Human
CD28,VHL,Human
CD28,EPAS1,Human
CD28,LIMD1,Human
CD28,HIF3A,Human
CD28,WWP1,Human
CD28,PGR,Human
CD28,MXD4,Human
CD28,HMGB1,Human
CD28,TRIM27,Human
CD28,MAF1,Human
CD28,PDLIM7,Human
CD28,PDX1,Human
CD28,PTF1A,Human
CD28,ARHGAP35,Human
CD28,SOX9,Human
CD28,RNPS1,Human
CD28,UPF2,Human
CD28,SLA2,Human
CD28,IFNB1,Human
CD28,IFNG,Human
CD28,TRIM21,Human
CD28,UBE2K,Human
CD28,RNF4,Human
CD28,ZBTB16,Human
CD28,TRIM32,Human
CD28,ASB9,Human
CD28,ASB8,Human
CD28,SMURF2,Human
