receptor,tf,species
CD4,MAFB,Human
CD4,ARHGAP35,Human
CD4,RARA,Human
CD4,RARB,Human
CD4,RARG,Human
CD4,YY1,Human
CD4,PBX1,Human
CD4,WDR5,Human
CD4,NCOA6,Human
CD4,NCOA3,Human
CD4,SOX9,Human
CD4,KAT2B,Human
CD4,SOX10,Human
CD4,HDAC3,Human
CD4,NCOR1,Human
CD4,EED,Human
CD4,EGR2,Human
CD4,RBBP4,Human
CD4,SUZ12,Human
CD4,EZH2,Human
CD4,RBBP7,Human
CD4,KMT2C,Human
CD4,ASH2L,Human
CD4,PPARA,Human
CD4,MED1,Human
CD4,SMARCD3,Human
CD4,IFNG,Human
CD4,SLA2,Human
CD4,IL1B,Human
CD4,PIAS1,Human
CD4,AHCTF1,Human
CD4,CENPK,Human
CD4,KNTC1,Human
CD4,SREBF2,Human
CD4,MLXIPL,Human
CD4,VDR,Human
CD4,RXRB,Human
CD4,FHL2,Human
CD4,ANKRD1,Human
CD4,TRIB3,Human
CD4,SIN3A,Human
CD4,GRHL1,Human
CD4,AHRR,Human
CD4,ARNT,Human
CD4,AHR,Human
CD4,NCOA2,Human
CD4,NCOA1,Human
CD4,SCD5,Human
CD4,NR1H4,Human
CD4,ARNT2,Human
CD4,FOXM1,Human
CD4,HDAC4,Human
CD4,SNW1,Human
CD4,HDAC7,Human
CD4,HDAC10,Human
CD4,HDAC11,Human
CD4,HDAC8,Human
CD4,HDAC9,Human
CD4,HDAC5,Human
CD4,ATRX,Human
CD4,ALYREF,Human
CD4,SRSF3,Human
CD4,U2AF1,Human
CD4,SRSF2,Human
CD4,SRSF9,Human
CD4,SRSF5,Human
CD4,SRSF6,Human
CD4,DHX38,Human
CD4,SRRM1,Human
CD4,SRF,Human
CD4,AATF,Human
CD4,NR5A2,Human
CD4,ZNF217,Human
CD4,POU2F1,Human
CD4,GATA3,Human
CD4,FOXA1,Human
CD4,MYCN,Human
CD4,RBFOX2,Human
CD4,TIAL1,Human
CD4,MEN1,Human
CD4,HDAC1,Human
CD4,KDM4C,Human
CD4,TAX1BP1,Human
CD4,SKI,Human
CD4,SKIL,Human
CD4,BMPR1B,Human
CD4,SMAD6,Human
CD4,BMP2,Human
CD4,BMPR1A,Human
CD4,TAF4,Human
CD4,GTF2F2,Human
CD4,TBP,Human
CD4,TAF1,Human
CD4,GTF2E1,Human
CD4,GTF2E2,Human
CD4,GTF2F1,Human
CD4,TAF6,Human
CD4,GTF2A1,Human
CD4,GTF2A2,Human
CD4,GTF2B,Human
CD4,TAF10,Human
CD4,TAF5,Human
CD4,TAF13,Human
CD4,TAF11,Human
CD4,TAF7,Human
CD4,TAF12,Human
CD4,TAF9,Human
CD4,TAF1L,Human
CD4,TAF4B,Human
CD4,TAF15,Human
CD4,TAF9B,Human
CD4,SMARCA5,Human
CD4,RSF1,Human
CD4,MIS18BP1,Human
CD4,TFDP1,Human
CD4,TFDP2,Human
CD4,PHF8,Human
CD4,E2F5,Human
CD4,E2F4,Human
CD4,FXR1,Human
CD4,SND1,Human
CD4,KIAA1549,Human
CD4,DNMT1,Human
CD4,DNMT3A,Human
CD4,ETV6,Human
CD4,PML,Human
CD4,MECP2,Human
CD4,TLR7,Human
CD4,XRCC6,Human
CD4,XRCC5,Human
CD4,IFI16,Human
CD4,GEMIN2,Human
CD4,SNRPD1,Human
CD4,DDX20,Human
CD4,PREB,Human
CD4,TMF1,Human
CD4,POLR1C,Human
CD4,POLR1A,Human
CD4,POLR1D,Human
CD4,DEK,Human
CD4,TAF1C,Human
CD4,TAF1A,Human
CD4,TAF1B,Human
CD4,POLR1E,Human
CD4,POLR1B,Human
CD4,MBD2,Human
CD4,MYBBP1A,Human
CD4,BAZ1B,Human
CD4,UBTF,Human
CD4,PHF1,Human
CD4,AEBP2,Human
CD4,JARID2,Human
CD4,UHRF1,Human
CD4,DNMT3L,Human
CD4,MTF2,Human
CD4,BRD2,Human
CD4,NCOR2,Human
CD4,TCF3,Human
CD4,GATA1,Human
CD4,TAL1,Human
CD4,GATA2,Human
CD4,LMO2,Human
CD4,LMO1,Human
CD4,LDB1,Human
CD4,TCF12,Human
CD4,SIN3B,Human
CD4,ZFPM1,Human
CD4,TFAP2A,Human
CD4,TFAP2B,Human
CD4,TFAP2C,Human
CD4,ING2,Human
CD4,NR3C1,Human
CD4,NR3C2,Human
CD4,DDIT3,Human
CD4,ATF5,Human
CD4,CBX4,Human
CD4,BMI1,Human
CD4,RING1,Human
CD4,SCMH1,Human
CD4,RNF2,Human
CD4,CBX8,Human
CD4,PIAS3,Human
CD4,SP100,Human
CD4,NR1I2,Human
CD4,PIAS2,Human
CD4,PARP1,Human
CD4,THRB,Human
CD4,NR4A2,Human
CD4,SATB1,Human
CD4,MTA1,Human
CD4,SAFB,Human
CD4,SATB2,Human
CD4,DDX5,Human
CD4,HNRNPK,Human
CD4,SP3,Human
CD4,NR5A1,Human
CD4,L3MBTL2,Human
CD4,MITF,Human
CD4,ZBED1,Human
CD4,NR2C1,Human
CD4,NRIP1,Human
CD4,FOXL2,Human
CD4,TOP2B,Human
CD4,TRIM28,Human
CD4,HIC1,Human
CD4,HDAC2,Human
CD4,ZNF350,Human
CD4,HIPK2,Human
CD4,TOPORS,Human
CD4,PPARGC1A,Human
CD4,MBD1,Human
CD4,TULP4,Human
CD4,HCFC1,Human
CD4,EYA2,Human
CD4,EYA4,Human
CD4,EYA3,Human
CD4,APBB1,Human
CD4,COPS5,Human
CD4,XPA,Human
CD4,PDCD11,Human
CD4,C1D,Human
CD4,ELL2,Human
CD4,SNAPC5,Human
CD4,SP1,Human
CD4,POU2F2,Human
CD4,ZNF143,Human
CD4,SNAPC2,Human
CD4,SNAPC1,Human
CD4,SNAPC4,Human
CD4,SNAPC3,Human
CD4,ELL3,Human
CD4,HNRNPR,Human
CD4,PLRG1,Human
CD4,PQBP1,Human
CD4,FUS,Human
CD4,RBMX,Human
CD4,YBX1,Human
CD4,SUGP1,Human
CD4,CTNNBL1,Human
CD4,CDC5L,Human
CD4,HNRNPUL1,Human
CD4,WBP11,Human
CD4,ELAVL2,Human
CD4,SF1,Human
CXCR5,STAT3,Human
CXCR5,RASGRF1,Human
CXCR5,SRC,Human
CXCR5,STAT1,Human
CXCR5,STAT2,Human
CXCR5,STAT5B,Human
CXCR5,STAT4,Human
CXCR5,STAT5A,Human
CXCR5,STAT6,Human
CXCR5,MAPK1,Human
CXCR5,MAPK3,Human
CXCR5,MAPK14,Human
CXCR5,MAPK8,Human
CXCR5,MAPK11,Human
CXCR5,MAPK9,Human
CXCR5,MAPK10,Human
CXCR5,MAPK13,Human
CXCR5,MAPK12,Human
CXCR5,IL6,Human
CXCR5,IL2,Human
CXCR5,SOS2,Human
CXCR5,ESR1,Human
CXCR5,ESR2,Human
CXCR5,PTEN,Human
CXCR5,CCND1,Human
CXCR5,CDKN1A,Human
CXCR5,TRIM24,Human
CXCR5,FXR1,Human
CXCR5,SND1,Human
CXCR5,KIAA1549,Human
CXCR5,NME2,Human
CXCR5,AKT3,Human
CXCR5,AKT1,Human
CXCR5,AKT2,Human
CXCR5,PRKCA,Human
CXCR5,RB1,Human
CXCR5,EGFR,Human
CXCR5,FLT1,Human
CXCR5,IKBKB,Human
CXCR5,IKBKG,Human
CXCR5,NFKB1,Human
CXCR5,RELA,Human
CXCR5,HIF1A,Human
CXCR5,VHL,Human
CXCR5,FOXO6,Human
CXCR5,FOXO1,Human
CXCR5,FOXO3,Human
CXCR5,FOXO4,Human
CXCR5,SOS1,Human
CXCR5,RBL1,Human
CXCR5,RBL2,Human
CXCR5,PPP3R1,Human
CXCR5,PPARGC1A,Human
CXCR5,SREBF1,Human
CXCR5,SIRT1,Human
CXCR5,CDKN2A,Human
CXCR5,MDM2,Human
CXCR5,TBL1X,Human
CXCR5,CTNNB1,Human
CXCR5,NOTCH2,Human
CXCR5,NOTCH3,Human
CXCR5,NOTCH4,Human
CXCR5,GLI1,Human
CXCR5,GLI2,Human
CXCR5,GLI3,Human
CXCR5,SMAD2,Human
CXCR5,SMAD3,Human
CXCR5,KLF2,Human
CXCR5,HDAC5,Human
CXCR5,HDAC4,Human
CXCR5,CREB1,Human
CXCR5,WWTR1,Human
CXCR5,TEAD1,Human
CXCR5,TEAD4,Human
CXCR5,TEAD3,Human
CXCR5,TEAD2,Human
CXCR5,YBX3,Human
CXCR5,RUNX1,Human
CXCR5,GATA4,Human
CXCR5,FOS,Human
CXCR5,JUN,Human
CXCR5,BIN1,Human
CXCR5,CRY1,Human
CXCR5,PER1,Human
CXCR5,PER3,Human
CXCR5,PER2,Human
CXCR5,CREBBP,Human
CXCR5,EP300,Human
CXCR5,ATF4,Human
CXCR5,CREB3,Human
CXCR5,ATF2,Human
CXCR5,ATF6B,Human
CXCR5,CREB3L4,Human
CXCR5,CREB3L2,Human
CXCR5,CREB3L3,Human
CXCR5,CREB3L1,Human
CXCR5,CREB5,Human
CXCR5,THRA,Human
CXCR5,PPARA,Human
CXCR5,ATF1,Human
CXCR5,NR1H3,Human
CXCR5,NR1H2,Human
CXCR5,TRAF6,Human
CXCR5,HCLS1,Human
CXCR5,NFKBIA,Human
CXCR5,NFKBIB,Human
CXCR5,IRF9,Human
CXCR5,TNF,Human
CXCR5,EPAS1,Human
CXCR5,BATF,Human
CXCR5,BATF3,Human
CXCR5,PSMD9,Human
CXCR5,RFC1,Human
CXCR5,DDB1,Human
CXCR5,CTR9,Human
CXCR5,NFATC1,Human
CXCR5,NFATC3,Human
CXCR5,NFATC2,Human
CXCR5,TERF1,Human
CXCR5,TERF2,Human
CXCR5,BCR,Human
CXCR5,CUX1,Human
CXCR5,LRRFIP1,Human
CXCR5,CNTRL,Human
CXCR5,ZMYM2,Human
CXCR5,LIMD1,Human
CXCR5,HIF3A,Human
CXCR5,TLR4,Human
CXCR5,TLR2,Human
CXCR5,HMGB1,Human
CXCR5,PDGFB,Human
CXCR5,PDGFA,Human
CXCR5,CEBPA,Human
CXCR5,IFNB1,Human
CXCR5,IFNG,Human
CXCR5,UBE2K,Human
CXCR5,ZBTB16,Human
CXCR5,FBXO7,Human
CXCR5,ASB9,Human
CXCR5,ASB8,Human
CXCR5,ASB6,Human
CXCR5,ASB4,Human
CXCR5,MLXIPL,Human
CXCR5,AHRR,Human
CXCR5,ENO1,Human
CXCR5,RXRA,Human
CXCR5,ARNT,Human
CXCR5,AHR,Human
CXCR5,SREBF2,Human
CXCR5,NCOA2,Human
CXCR5,NCOA1,Human
CXCR5,SCD5,Human
CXCR5,NR1H4,Human
CXCR5,ARNT2,Human
CXCR5,BRCA1,Human
CXCR5,BRCA2,Human
CXCR5,RAD51,Human
CXCR5,ATM,Human
CXCR5,APC,Human
CXCR5,JUP,Human
CXCR5,NF1,Human
CXCR5,F2,Human
CXCR5,TAX1BP3,Human
CXCR5,TGFB1,Human
CXCR5,ARHGAP35,Human
CXCR5,SUFU,Human
CXCR5,MEN1,Human
CXCR5,RBFOX2,Human
CXCR5,TIAL1,Human
CXCR5,TCF7,Human
CXCR5,TLE2,Human
CXCR5,TLE3,Human
CXCR5,CTBP1,Human
CXCR5,TCF7L1,Human
CXCR5,TCF7L2,Human
CXCR5,LEF1,Human
CXCR5,EGF,Human
CXCR5,TULP3,Human
CXCR5,RB1CC1,Human
CXCR5,E2F3,Human
CXCR5,E2F1,Human
CXCR5,TFDP1,Human
CXCR5,TFDP2,Human
CXCR5,E2F2,Human
CXCR5,E2F5,Human
CXCR5,E2F4,Human
CXCR5,NPM1,Human
CXCR5,ETV6,Human
CXCR5,TRIP11,Human
CXCR5,NFE2L2,Human
CXCR5,IRF3,Human
CXCR5,IRF7,Human
CXCR5,GEMIN2,Human
CXCR5,SNRPB,Human
CXCR5,SNRPD1,Human
CXCR5,DDX20,Human
CXCR5,DAB2,Human
CXCR5,TP53,Human
CXCR5,BRD2,Human
CXCR5,RUNX3,Human
CXCR5,CBFB,Human
CXCR5,HDAC3,Human
CXCR5,NCOR1,Human
CXCR5,MECP2,Human
CXCR5,NCOR2,Human
CXCR5,RUNX2,Human
CXCR5,BACH1,Human
CXCR5,ARID1A,Human
CXCR5,SMARCA2,Human
CXCR5,SMARCA4,Human
CXCR5,SMARCB1,Human
CXCR5,ARID2,Human
CXCR5,SMARCD3,Human
CXCR5,PBRM1,Human
CXCR5,ARID1B,Human
CXCR5,SMARCC2,Human
CXCR5,SMARCC1,Human
CXCR5,SMARCD2,Human
CXCR5,SMARCE1,Human
CXCR5,SMARCD1,Human
CXCR5,ERCC8,Human
CXCR5,DDB2,Human
CXCR5,TULP4,Human
CXCR5,KCNIP3,Human
CXCR5,ZFP36L1,Human
CXCR5,ZFP36,Human
CXCR5,KHSRP,Human
CXCR5,XPC,Human
CXCR5,COPS5,Human
CXCR5,ERCC2,Human
CXCR5,ERCC3,Human
CXCR5,GTF2H1,Human
CXCR5,GTF2H2,Human
CXCR5,GTF2H3,Human
CXCR5,GTF2H4,Human
CXCR5,TCEA1,Human
CXCR5,ERCC6,Human
CXCR5,XAB2,Human
CXCR6,STAT3,Human
CXCR6,RASGRF1,Human
CXCR6,SRC,Human
CXCR6,STAT1,Human
CXCR6,STAT2,Human
CXCR6,STAT5B,Human
CXCR6,STAT4,Human
CXCR6,STAT5A,Human
CXCR6,STAT6,Human
CXCR6,MAPK1,Human
CXCR6,MAPK3,Human
CXCR6,MAPK14,Human
CXCR6,MAPK8,Human
CXCR6,MAPK11,Human
CXCR6,MAPK9,Human
CXCR6,MAPK10,Human
CXCR6,MAPK13,Human
CXCR6,MAPK12,Human
CXCR6,IL6,Human
CXCR6,IL2,Human
CXCR6,SOS2,Human
CXCR6,ESR1,Human
CXCR6,ESR2,Human
CXCR6,PTEN,Human
CXCR6,CCND1,Human
CXCR6,CDKN1A,Human
CXCR6,TRIM24,Human
CXCR6,FXR1,Human
CXCR6,SND1,Human
CXCR6,KIAA1549,Human
CXCR6,NME2,Human
CXCR6,AKT3,Human
CXCR6,AKT1,Human
CXCR6,AKT2,Human
CXCR6,PRKCA,Human
CXCR6,RB1,Human
CXCR6,EGFR,Human
CXCR6,FLT1,Human
CXCR6,IKBKB,Human
CXCR6,IKBKG,Human
CXCR6,NFKB1,Human
CXCR6,RELA,Human
CXCR6,HIF1A,Human
CXCR6,VHL,Human
CXCR6,FOXO6,Human
CXCR6,FOXO1,Human
CXCR6,FOXO3,Human
CXCR6,FOXO4,Human
CXCR6,SOS1,Human
CXCR6,RBL1,Human
CXCR6,RBL2,Human
CXCR6,PPP3R1,Human
CXCR6,PPARGC1A,Human
CXCR6,SREBF1,Human
CXCR6,SIRT1,Human
CXCR6,CDKN2A,Human
CXCR6,MDM2,Human
CXCR6,TBL1X,Human
CXCR6,CTNNB1,Human
CXCR6,NOTCH2,Human
CXCR6,NOTCH3,Human
CXCR6,NOTCH4,Human
CXCR6,GLI1,Human
CXCR6,GLI2,Human
CXCR6,GLI3,Human
CXCR6,SMAD2,Human
CXCR6,SMAD3,Human
CXCR6,KLF2,Human
CXCR6,HDAC5,Human
CXCR6,HDAC4,Human
CXCR6,CREB1,Human
CXCR6,WWTR1,Human
CXCR6,TEAD1,Human
CXCR6,TEAD4,Human
CXCR6,TEAD3,Human
CXCR6,TEAD2,Human
CXCR6,YBX3,Human
CXCR6,RUNX1,Human
CXCR6,GATA4,Human
CXCR6,FOS,Human
CXCR6,JUN,Human
CXCR6,BIN1,Human
CXCR6,CRY1,Human
CXCR6,PER1,Human
CXCR6,PER3,Human
CXCR6,PER2,Human
CXCR6,CREBBP,Human
CXCR6,EP300,Human
CXCR6,ATF4,Human
CXCR6,CREB3,Human
CXCR6,ATF2,Human
CXCR6,ATF6B,Human
CXCR6,CREB3L4,Human
CXCR6,CREB3L2,Human
CXCR6,CREB3L3,Human
CXCR6,CREB3L1,Human
CXCR6,CREB5,Human
CXCR6,THRA,Human
CXCR6,PPARA,Human
CXCR6,ATF1,Human
CXCR6,NR1H3,Human
CXCR6,NR1H2,Human
CXCR6,TRAF6,Human
CXCR6,HCLS1,Human
CXCR6,NFKBIA,Human
CXCR6,NFKBIB,Human
CXCR6,IRF9,Human
CXCR6,EPAS1,Human
CXCR6,BATF,Human
CXCR6,BATF3,Human
CXCR6,PSMD9,Human
CXCR6,RFC1,Human
CXCR6,DDB1,Human
CXCR6,CTR9,Human
CXCR6,NFATC1,Human
CXCR6,NFATC3,Human
CXCR6,NFATC2,Human
CXCR6,TERF1,Human
CXCR6,TERF2,Human
CXCR6,BCR,Human
CXCR6,CUX1,Human
CXCR6,LRRFIP1,Human
CXCR6,CNTRL,Human
CXCR6,ZMYM2,Human
CXCR6,LIMD1,Human
CXCR6,HIF3A,Human
CXCR6,TLR4,Human
CXCR6,TLR2,Human
CXCR6,HMGB1,Human
CXCR6,PDGFB,Human
CXCR6,PDGFA,Human
CXCR6,CEBPA,Human
CXCR6,IFNB1,Human
CXCR6,IFNG,Human
CXCR6,UBE2K,Human
CXCR6,ZBTB16,Human
CXCR6,FBXO7,Human
CXCR6,ASB9,Human
CXCR6,ASB8,Human
CXCR6,ASB6,Human
CXCR6,ASB4,Human
CXCR6,MLXIPL,Human
CXCR6,AHRR,Human
CXCR6,ENO1,Human
CXCR6,RXRA,Human
CXCR6,ARNT,Human
CXCR6,AHR,Human
CXCR6,SREBF2,Human
CXCR6,NCOA2,Human
CXCR6,NCOA1,Human
CXCR6,SCD5,Human
CXCR6,NR1H4,Human
CXCR6,ARNT2,Human
CXCR6,BRCA1,Human
CXCR6,BRCA2,Human
CXCR6,RAD51,Human
CXCR6,ATM,Human
CXCR6,APC,Human
CXCR6,JUP,Human
CXCR6,NF1,Human
CXCR6,F2,Human
CXCR6,TAX1BP3,Human
CXCR6,TGFB1,Human
CXCR6,ARHGAP35,Human
CXCR6,SUFU,Human
CXCR6,MEN1,Human
CXCR6,RBFOX2,Human
CXCR6,TIAL1,Human
CXCR6,TCF7,Human
CXCR6,TLE2,Human
CXCR6,TLE3,Human
CXCR6,CTBP1,Human
CXCR6,TCF7L1,Human
CXCR6,TCF7L2,Human
CXCR6,LEF1,Human
CXCR6,EGF,Human
CXCR6,TULP3,Human
CXCR6,RB1CC1,Human
CXCR6,E2F3,Human
CXCR6,E2F1,Human
CXCR6,TFDP1,Human
CXCR6,TFDP2,Human
CXCR6,E2F2,Human
CXCR6,E2F5,Human
CXCR6,E2F4,Human
CXCR6,NPM1,Human
CXCR6,ETV6,Human
CXCR6,TRIP11,Human
CXCR6,NFE2L2,Human
CXCR6,IRF3,Human
CXCR6,IRF7,Human
CXCR6,GEMIN2,Human
CXCR6,SNRPB,Human
CXCR6,SNRPD1,Human
CXCR6,DDX20,Human
CXCR6,DAB2,Human
CXCR6,TP53,Human
CXCR6,BRD2,Human
CXCR6,RUNX3,Human
CXCR6,CBFB,Human
CXCR6,HDAC3,Human
CXCR6,NCOR1,Human
CXCR6,MECP2,Human
CXCR6,NCOR2,Human
CXCR6,RUNX2,Human
CXCR6,BACH1,Human
CXCR6,ARID1A,Human
CXCR6,SMARCA2,Human
CXCR6,SMARCA4,Human
CXCR6,SMARCB1,Human
CXCR6,ARID2,Human
CXCR6,SMARCD3,Human
CXCR6,PBRM1,Human
CXCR6,ARID1B,Human
CXCR6,SMARCC2,Human
CXCR6,SMARCC1,Human
CXCR6,SMARCD2,Human
CXCR6,SMARCE1,Human
CXCR6,SMARCD1,Human
CXCR6,ERCC8,Human
CXCR6,DDB2,Human
CXCR6,TULP4,Human
CXCR6,KCNIP3,Human
CXCR6,ZFP36L1,Human
CXCR6,ZFP36,Human
CXCR6,KHSRP,Human
CXCR6,XPC,Human
CXCR6,COPS5,Human
CXCR6,ERCC2,Human
CXCR6,ERCC3,Human
CXCR6,GTF2H1,Human
CXCR6,GTF2H2,Human
CXCR6,GTF2H3,Human
CXCR6,GTF2H4,Human
CXCR6,TCEA1,Human
CXCR6,ERCC6,Human
CXCR6,XAB2,Human
CXCR1,PTEN,Human
CXCR1,STAT3,Human
CXCR1,SRC,Human
CXCR1,RASGRF1,Human
CXCR1,PRKCA,Human
CXCR1,STAT1,Human
CXCR1,STAT2,Human
CXCR1,STAT5B,Human
CXCR1,STAT4,Human
CXCR1,STAT5A,Human
CXCR1,STAT6,Human
CXCR1,MAPK1,Human
CXCR1,MAPK3,Human
CXCR1,PPP3R1,Human
CXCR1,MAPK14,Human
CXCR1,MAPK8,Human
CXCR1,MAPK11,Human
CXCR1,MAPK9,Human
CXCR1,MAPK10,Human
CXCR1,MAPK13,Human
CXCR1,MAPK12,Human
CXCR1,EGFR,Human
CXCR1,IL6,Human
CXCR1,IL2,Human
CXCR1,SOS2,Human
CXCR1,JAG1,Human
CXCR1,NOTCH2,Human
CXCR1,NOTCH4,Human
CXCR1,NOTCH3,Human
CXCR1,ESR1,Human
CXCR1,ESR2,Human
CXCR1,EGF,Human
CXCR1,CCND1,Human
CXCR1,CDKN1A,Human
CXCR1,TRIM24,Human
CXCR1,FXR1,Human
CXCR1,SND1,Human
CXCR1,KIAA1549,Human
CXCR1,ENO1,Human
CXCR1,NME2,Human
CXCR1,AKT3,Human
CXCR1,AKT1,Human
CXCR1,AKT2,Human
CXCR1,RB1,Human
CXCR1,FOS,Human
CXCR1,JUN,Human
CXCR1,MED1,Human
CXCR1,SP1,Human
CXCR1,NCOA3,Human
CXCR1,FLT1,Human
CXCR1,NFATC1,Human
CXCR1,NFATC3,Human
CXCR1,NFATC2,Human
CXCR1,NFATC4,Human
CXCR1,CREB3,Human
CXCR1,CREB1,Human
CXCR1,CREBBP,Human
CXCR1,CREB3L4,Human
CXCR1,EP300,Human
CXCR1,GLI3,Human
CXCR1,NFKB1,Human
CXCR1,NFKBIA,Human
CXCR1,PPARA,Human
CXCR1,RELA,Human
CXCR1,CREB3L2,Human
CXCR1,SOX9,Human
CXCR1,CREB3L3,Human
CXCR1,CREB3L1,Human
CXCR1,CREB5,Human
CXCR1,IKBKB,Human
CXCR1,IKBKG,Human
CXCR1,HIF1A,Human
CXCR1,VHL,Human
CXCR1,FOXO6,Human
CXCR1,FOXO1,Human
CXCR1,FOXO3,Human
CXCR1,FOXO4,Human
CXCR1,SOS1,Human
CXCR1,RBL1,Human
CXCR1,RBL2,Human
CXCR1,PPARGC1A,Human
CXCR1,SREBF1,Human
CXCR1,EHMT2,Human
CXCR1,EHMT1,Human
CXCR1,SIRT1,Human
CXCR1,CDKN2A,Human
CXCR1,MDM2,Human
CXCR1,ATF2,Human
CXCR1,ATF6B,Human
CXCR1,ATF4,Human
CXCR1,CTNNB1,Human
CXCR1,TBL1X,Human
CXCR1,RBPJL,Human
CXCR1,DTX1,Human
CXCR1,RBPJ,Human
CXCR1,GLI1,Human
CXCR1,GLI2,Human
CXCR1,SMAD2,Human
CXCR1,SMAD3,Human
CXCR1,ABL1,Human
CXCR1,KLF2,Human
CXCR1,HDAC5,Human
CXCR1,HDAC4,Human
CXCR1,WWTR1,Human
CXCR1,TEAD1,Human
CXCR1,TEAD4,Human
CXCR1,TEAD3,Human
CXCR1,TEAD2,Human
CXCR1,YBX3,Human
CXCR1,RUNX1,Human
CXCR1,GATA4,Human
CXCR1,MAML3,Human
CXCR1,MAML1,Human
CXCR1,BIN1,Human
CXCR1,CRY1,Human
CXCR1,PER1,Human
CXCR1,PER3,Human
CXCR1,PER2,Human
CXCR1,PDX1,Human
CXCR1,TTF1,Human
CXCR1,PAX8,Human
CXCR1,TTF2,Human
CXCR1,THRA,Human
CXCR1,ATF1,Human
CXCR1,NR5A1,Human
CXCR1,NR4A1,Human
CXCR1,PBX1,Human
CXCR1,MEF2A,Human
CXCR1,MEF2C,Human
CXCR1,MEF2D,Human
CXCR1,NR4A2,Human
CXCR1,RUNX2,Human
CXCR1,NR1H3,Human
CXCR1,NR1H2,Human
CXCR1,APBB1,Human
CXCR1,TARDBP,Human
CXCR1,TRAF6,Human
CXCR1,HCLS1,Human
CXCR1,NFKBIB,Human
CXCR1,HEY1,Human
CXCR1,HEY2,Human
CXCR1,HEYL,Human
CXCR1,HES1,Human
CXCR1,HES5,Human
CXCR1,HES6,Human
CXCR1,IRF9,Human
CXCR1,ELK1,Human
CXCR1,EPAS1,Human
CXCR1,JUP,Human
CXCR1,BATF,Human
CXCR1,BATF3,Human
CXCR1,TGFB1,Human
CXCR1,PIAS4,Human
CXCR1,TP53,Human
CXCR1,PSMD9,Human
CXCR1,RFC1,Human
CXCR1,TRIM25,Human
CXCR1,DDB1,Human
CXCR1,CTR9,Human
CXCR1,REL,Human
CXCR1,TERF1,Human
CXCR1,TERF2,Human
CXCR1,BCR,Human
CXCR1,CUX1,Human
CXCR1,LRRFIP1,Human
CXCR1,CNTRL,Human
CXCR1,ZMYM2,Human
CXCR1,LIMD1,Human
CXCR1,HIF3A,Human
CXCR1,WWP1,Human
CXCR1,TLR4,Human
CXCR1,TLR2,Human
CXCR1,HMGB1,Human
CXCR1,PDGFB,Human
CXCR1,PDGFA,Human
CXCR1,TRIM27,Human
CXCR1,ARHGAP35,Human
CXCR1,CEBPA,Human
CXCR1,KAT2B,Human
CXCR1,RNPS1,Human
CXCR1,UPF2,Human
CXCR1,IFNB1,Human
CXCR1,IFNG,Human
CXCR1,NFKB2,Human
CXCR1,RELB,Human
CXCR1,UBE2K,Human
CXCR1,TRIM21,Human
CXCR1,RNF4,Human
CXCR1,ZBTB16,Human
CXCR1,TRIM32,Human
CXCR1,ASB9,Human
CXCR1,RBCK1,Human
CXCR1,ASB8,Human
CXCR1,SMURF2,Human
CXCR1,RNF19A,Human
CXCR1,RLIM,Human
CXCR1,ASB6,Human
CXCR1,RNF14,Human
CXCR1,FBXO7,Human
CXCR1,ASB4,Human
CXCR1,MLXIPL,Human
CXCR1,AHRR,Human
CXCR1,RXRA,Human
CXCR1,ARNT,Human
CXCR1,AHR,Human
CXCR1,SREBF2,Human
CXCR1,NCOA2,Human
CXCR1,NCOA1,Human
CXCR1,SCD5,Human
CXCR1,NR1H4,Human
CXCR1,ARNT2,Human
CXCR1,BRCA1,Human
CXCR1,BRCA2,Human
CXCR1,RAD51,Human
CXCR1,ATM,Human
CXCR1,EEF1A1,Human
CXCR1,ELF3,Human
CXCR1,MYC,Human
CXCR1,APC,Human
CXCR1,NF1,Human
CXCR1,SMAD7,Human
CXCR1,TLE1,Human
CXCR1,TLE2,Human
CXCR1,TLE3,Human
CXCR1,SUFU,Human
CXCR1,F2,Human
CXCR1,MEN1,Human
CXCR1,KNTC1,Human
CXCR1,AHCTF1,Human
CXCR1,CENPK,Human
CXCR1,TAX1BP3,Human
CXCR1,RBFOX2,Human
CXCR1,TIAL1,Human
CXCR1,TCF7,Human
CXCR1,CTBP1,Human
CXCR1,TCF7L1,Human
CXCR1,TCF7L2,Human
CXCR1,LEF1,Human
CXCR1,TULP3,Human
CXCR1,TSG101,Human
CXCR1,RB1CC1,Human
CXCR1,HSF1,Human
CXCR1,MDM4,Human
CXCR1,PTTG1,Human
CXCR1,E2F3,Human
CXCR1,E2F1,Human
CXCR1,TFDP1,Human
CXCR1,TFDP2,Human
CXCR1,E2F2,Human
CXCR1,E2F5,Human
CXCR1,E2F4,Human
CXCR1,NPM1,Human
CXCR1,ETV6,Human
CXCR1,TRIP11,Human
CXCR1,NFE2L2,Human
CXCR1,IRF3,Human
CXCR1,IRF7,Human
CXCR1,GEMIN2,Human
CXCR1,SNRPB,Human
CXCR1,SNRPD1,Human
CXCR1,DDX20,Human
CXCR1,DAB2,Human
CXCR1,BRD2,Human
CXCR1,RUNX3,Human
CXCR1,CBFB,Human
CXCR1,TP73,Human
CXCR1,HIVEP3,Human
CXCR1,JMY,Human
CXCR1,HDAC3,Human
CXCR1,NCOR1,Human
CXCR1,MECP2,Human
CXCR1,NCOR2,Human
CXCR1,ING2,Human
